"Pattern1","Pattern2","Pattern3","Pattern4","Original_Head"
"يمسك الكرة","يمسك الكرة لأنه [MASK] .","يمسك الكرة بسبب [MASK] .","تمسك الكرة لأنها [MASK] .","تمسك الكرة بسبب [MASK] ."
"يصطدم بسيارة أخرى","يصطدم بسيارة أخرى لأنه [MASK] .","يصطدم بسيارة أخرى بسبب [MASK] .","تصطدم بسيارة أخرى لأنها [MASK] .","تصطدم بسيارة أخرى بسبب [MASK] ."
"يقرر الانتقال للعيش معاً","يقرر الانتقال للعيش معاً لأنه [MASK] .","يقرر الانتقال للعيش معاً بسبب [MASK] .","تقرر الانتقال للعيش معاً لأنها [MASK] .","تقرر الانتقال للعيش معاً بسبب [MASK] ."
"يقوم بعمل برنامج أفضل في المدرسة","يقوم بعمل برنامج أفضل في المدرسة لأنه [MASK] .","يقوم بعمل برنامج أفضل في المدرسة بسبب [MASK] .","تقوم بعمل برنامج أفضل في المدرسة لأنها [MASK] .","تقوم بعمل برنامج أفضل في المدرسة بسبب [MASK] ."
"يتزوج أخيرا","يتزوج أخيرا لأنه [MASK] .","يتزوج أخيرا بسبب [MASK] .","تتزوج أخيرا لأنها [MASK] .","تتزوج أخيرا بسبب [MASK] ."
"يشرح الموقف","يشرح الموقف لأنه [MASK] .","يشرح الموقف بسبب [MASK] .","تشرح الموقف لأنها [MASK] .","تشرح الموقف بسبب [MASK] ."
"يدخل الكرة بضربة واحدة","يدخل الكرة بضربة واحدة لأنه [MASK] .","يدخل الكرة بضربة واحدة بسبب [MASK] .","تدخل الكرة بضربة واحدة لأنها [MASK] .","تدخل الكرة بضربة واحدة بسبب [MASK] ."
"يحصل على توصيلة","يحصل على توصيلة لأنه [MASK] .","يحصل على توصيلة بسبب [MASK] .","تحصل على توصيلة لأنها [MASK] .","تحصل على توصيلة بسبب [MASK] ."
"يعطيه","يعطيه لأنه [MASK] .","يعطيه بسبب [MASK] .","تعطيه لأنها [MASK] .","تعطيه بسبب [MASK] ."
"يمنح معاملة فخمة.","يمنح معاملة فخمة. لأنه [MASK] .","يمنح معاملة فخمة. بسبب [MASK] .","تمنح معاملة فخمة. لأنها [MASK] .","تمنح معاملة فخمة. بسبب [MASK] ."
"يذهب للسباحة ليلاً","يذهب للسباحة ليلاً لأنه [MASK] .","يذهب للسباحة ليلاً بسبب [MASK] .","تذهب للسباحة ليلاً لأنها [MASK] .","تذهب للسباحة ليلاً بسبب [MASK] ."
"يذهب للسباحة مع الأصدقاء","يذهب للسباحة مع الأصدقاء لأنه [MASK] .","يذهب للسباحة مع الأصدقاء بسبب [MASK] .","تذهب للسباحة مع الأصدقاء لأنها [MASK] .","تذهب للسباحة مع الأصدقاء بسبب [MASK] ."
"يوقف سيارة أجرة","يوقف سيارة أجرة لأنه [MASK] .","يوقف سيارة أجرة بسبب [MASK] .","توقف سيارة أجرة لأنها [MASK] .","توقف سيارة أجرة بسبب [MASK] ."
"لديه حفلة عيد ميلاد","لديه حفلة عيد ميلاد لأنه [MASK] .","لديه حفلة عيد ميلاد بسبب [MASK] .","لديها حفلة عيد ميلاد لأنها [MASK] .","لديها حفلة عيد ميلاد بسبب [MASK] ."
"لديه حفلة عيد الميلاد","لديه حفلة عيد الميلاد لأنه [MASK] .","لديه حفلة عيد الميلاد بسبب [MASK] .","لديها حفلة عيد الميلاد لأنها [MASK] .","لديها حفلة عيد الميلاد بسبب [MASK] ."
"لديه صديق جديد","لديه صديق جديد لأنه [MASK] .","لديه صديق جديد بسبب [MASK] .","لديها صديق جديد لأنها [MASK] .","لديها صديق جديد بسبب [MASK] ."
"يساعد المرأة","يساعد المرأة لأنه [MASK] .","يساعد المرأة بسبب [MASK] .","تساعد المرأة لأنها [MASK] .","تساعد المرأة بسبب [MASK] ."
"يتحدث","يتحدث لأنه [MASK] .","يتحدث بسبب [MASK] .","تتحدث لأنها [MASK] .","تتحدث بسبب [MASK] ."
"يقوم بتعيين محامٍ","يقوم بتعيين محامٍ لأنه [MASK] .","يقوم بتعيين محامٍ بسبب [MASK] .","تقوم بتعيين محامٍ لأنها [MASK] .","تقوم بتعيين محامٍ بسبب [MASK] ."
"في رحلة عائلية","في رحلة عائلية لأنه [MASK] .","في رحلة عائلية بسبب [MASK] .","في رحلة عائلية لأنها [MASK] .","في رحلة عائلية بسبب [MASK] ."
"يلعب كرة السلة","يلعب كرة السلة لأنه [MASK] .","يلعب كرة السلة بسبب [MASK] .","تلعب كرة السلة لأنها [MASK] .","تلعب كرة السلة بسبب [MASK] ."
"هو الأفضل في صفه","هو الأفضل في صفه لأنه [MASK] .","هو الأفضل في صفه بسبب [MASK] .","هي الأفضل في صفها لأنها [MASK] .","هي الأفضل في صفها بسبب [MASK] ."
"ينضم إلى فريق كرة السلة","ينضم إلى فريق كرة السلة لأنه [MASK] .","ينضم إلى فريق كرة السلة بسبب [MASK] .","تنضم إلى فريق كرة السلة لأنها [MASK] .","تنضم إلى فريق كرة السلة بسبب [MASK] ."
"ينضم إلى الجيش","ينضم إلى الجيش لأنه [MASK] .","ينضم إلى الجيش بسبب [MASK] .","تنضم إلى الجيش لأنها [MASK] .","تنضم إلى الجيش بسبب [MASK] ."
"يتعرف على الكثير من الأصدقاء الجدد","يتعرف على الكثير من الأصدقاء الجدد لأنه [MASK] .","يتعرف على الكثير من الأصدقاء الجدد بسبب [MASK] .","تتعرف على الكثير من الأصدقاء الجدد لأنها [MASK] .","تتعرف على الكثير من الأصدقاء الجدد بسبب [MASK] ."
"يقوم بإجراء محادثة قصيرة","يقوم بإجراء محادثة قصيرة لأنه [MASK] .","يقوم بإجراء محادثة قصيرة بسبب [MASK] .","تقوم بإجراء محادثة قصيرة لأنها [MASK] .","تقوم بإجراء محادثة قصيرة بسبب [MASK] ."
"يقوم بتكوين صداقات جديدة","يقوم بتكوين صداقات جديدة لأنه [MASK] .","يقوم بتكوين صداقات جديدة بسبب [MASK] .","تقوم بتكوين صداقات جديدة لأنها [MASK] .","تقوم بتكوين صداقات جديدة بسبب [MASK] ."
" يلتقي بالناس"," يلتقي بالناس لأنه [MASK] ."," يلتقي بالناس بسبب [MASK] .","تلتقي بالناس لأنها [MASK] .","تلتقي بالناس بسبب [MASK] ."
"يطلب سلطة","يطلب سلطة لأنه [MASK] .","يطلب سلطة بسبب [MASK] .","تطلب سلطة لأنها [MASK] .","تطلب سلطة بسبب [MASK] ."
"يدفع الإيجار","يدفع الإيجار لأنه [MASK] .","يدفع الإيجار بسبب [MASK] .","تدفع الإيجار لأنها [MASK] .","تدفع الإيجار بسبب [MASK] ."
"يدفع لأمين الصندوق","يدفع لأمين الصندوق لأنه [MASK] .","يدفع لأمين الصندوق بسبب [MASK] .","تدفع لأمين الصندوق لأنها [MASK] .","تدفع لأمين الصندوق بسبب [MASK] ."
"يبلغ طلبي","يبلغ طلبي لأنه [MASK] .","يبلغ طلبي بسبب [MASK] .","تبلغ طلبي لأنها [MASK] .","تبلغ طلبي بسبب [MASK] ."
"يلعب دور الأحمق","يلعب دور الأحمق لأنه [MASK] .","يلعب دور الأحمق بسبب [MASK] .","تلعب دور الحمقاء لأنها [MASK] .","تلعب دور الحمقاء بسبب [MASK] ."
"يلعب ألعاب الفيديو معًا","يلعب ألعاب الفيديو معًا لأنه [MASK] .","يلعب ألعاب الفيديو معًا بسبب [MASK] .","تلعب ألعاب الفيديو معًا لأنها [MASK] .","تلعب ألعاب الفيديو معًا بسبب [MASK] ."
"يسيّر المدرسة","يسيّر المدرسة لأنه [MASK] .","يسيّر المدرسة بسبب [MASK] .","تسيّر المدرسة لأنها [MASK] .","تسيّر المدرسة بسبب [MASK] ."
"يقوم بجدولة مقابلة","يقوم بجدولة مقابلة لأنه [MASK] .","يقوم بجدولة مقابلة بسبب [MASK] .","تقوم بجدولة مقابلة لأنها [MASK] .","تقوم بجدولة مقابلة بسبب [MASK] ."
"يسرع على الطريق السريع","يسرع على الطريق السريع لأنه [MASK] .","يسرع على الطريق السريع بسبب [MASK] .","تسرع على الطريق السريع لأنها [MASK] .","تسرع على الطريق السريع بسبب [MASK] ."
"يأخذ العديد من الدروس","يأخذ العديد من الدروس لأنه [MASK] .","يأخذ العديد من الدروس بسبب [MASK] .","تأخذ العديد من الدروس لأنها [MASK] .","تأخذ العديد من الدروس بسبب [MASK] ."
"يقبل الوظيفة الجديدة","يقبل الوظيفة الجديدة لأنه [MASK] .","يقبل الوظيفة الجديدة بسبب [MASK] .","تقبل الوظيفة الجديدة لأنها [MASK] .","تقبل الوظيفة الجديدة بسبب [MASK] ."
"يقوم بتدريب الموظف الجديد","يقوم بتدريب الموظف الجديد لأنه [MASK] .","يقوم بتدريب الموظف الجديد بسبب [MASK] .","تقوم بتدريب الموظف الجديد لأنها [MASK] .","تقوم بتدريب الموظف الجديد بسبب [MASK] ."
"يزور صديقًا","يزور صديقًا لأنه [MASK] .","يزور صديقًا بسبب [MASK] .","تزور صديقًا لأنها [MASK] .","تزور صديقًا بسبب [MASK] ."
"يعود من العمل إلى المنزل","يعود من العمل إلى المنزل لأنه [MASK] .","يعود من العمل إلى المنزل بسبب [MASK] .","تعود من العمل إلى المنزل لأنها [MASK] .","تعود من العمل إلى المنزل بسبب [MASK] ."
"يريد مقابلة أشخاص جدد","يريد مقابلة أشخاص جدد لأنه [MASK] .","يريد مقابلة أشخاص جدد بسبب [MASK] .","تريد مقابلة أشخاص جدد لأنها [MASK] .","تريد مقابلة أشخاص جدد بسبب [MASK] ."
"يريد أن يقترح الزواج","يريد أن يقترح الزواج لأنه [MASK] .","يريد أن يقترح الزواج بسبب [MASK] .","تريد أن تقترح الزواج لأنها [MASK] .","تريد أن تقترح الزواج بسبب [MASK] ."
"يفوز بالميدالية الذهبية","يفوز بالميدالية الذهبية لأنه [MASK] .","يفوز بالميدالية الذهبية بسبب [MASK] .","تفوز بالميدالية الذهبية لأنها [MASK] .","تفوز بالميدالية الذهبية بسبب [MASK] ."
"يكتب قصصا","يكتب قصصا لأنه [MASK] .","يكتب قصصا بسبب [MASK] .","تكتب قصصا لأنها [MASK] .","تكتب قصصا بسبب [MASK] ."
"يصرخ بنغو","يصرخ بنغو لأنه [MASK] .","يصرخ بنغو بسبب [MASK] .","تصرخ بنغو لأنها [MASK] .","تصرخ بنغو بسبب [MASK] ."
"يصرخ مفاجأة","يصرخ مفاجأة لأنه [MASK] .","يصرخ مفاجأة بسبب [MASK] .","تصرخ مفاجأة لأنها [MASK] .","تصرخ مفاجأة بسبب [MASK] ."
"يتبنى فتاة صغيرة","يتبنى فتاة صغيرة لأنه [MASK] .","يتبنى فتاة صغيرة بسبب [MASK] .","تتبنى فتاة صغيرة لأنها [MASK] .","تتبنى فتاة صغيرة بسبب [MASK] ."
"يوافق على تجربته","يوافق على تجربته لأنه [MASK] .","يوافق على تجربته بسبب [MASK] .","توافق على تجربته لأنها [MASK] .","توافق على تجربته بسبب [MASK] ."
"يسأل الأصدقاء","يسأل الأصدقاء لأنه [MASK] .","يسأل الأصدقاء بسبب [MASK] .","تسأل الأصدقاء لأنها [MASK] .","تسأل الأصدقاء بسبب [MASK] ."
"يصبح كاتبًا","يصبح كاتبًا لأنه [MASK] .","يصبح كاتبًا بسبب [MASK] .","تصبح كاتبًا لأنها [MASK] .","تصبح كاتبًا بسبب [MASK] ."
"يجلب الهدايا","يجلب الهدايا لأنه [MASK] .","يجلب الهدايا بسبب [MASK] .","تجلب الهدايا لأنها [MASK] .","تجلب الهدايا بسبب [MASK] ."
"يشتري لعبة","يشتري لعبة لأنه [MASK] .","يشتري لعبة بسبب [MASK] .","تشتري لعبة لأنها [MASK] .","تشتري لعبة بسبب [MASK] ."
"يشتري بعض الأسهم","يشتري بعض الأسهم لأنه [MASK] .","يشتري بعض الأسهم بسبب [MASK] .","تشتري بعض الأسهم لأنها [MASK] .","تشتري بعض الأسهم بسبب [MASK] ."
"يقوم باستدعاء شخص ما","يقوم باستدعاء شخص ما لأنه [MASK] .","يقوم باستدعاء شخص ما بسبب [MASK] .","تقوم باستدعاء شخص ما لأنها [MASK] .","تقوم باستدعاء شخص ما بسبب [MASK] ."
"يطلب الإسعاف","يطلب الإسعاف لأنه [MASK] .","يطلب الإسعاف بسبب [MASK] .","تطلب الإسعاف لأنها [MASK] .","تطلب الإسعاف بسبب [MASK] ."
"يستدعي السلطات","يستدعي السلطات لأنه [MASK] .","يستدعي السلطات بسبب [MASK] .","تستدعي السلطات لأنها [MASK] .","تستدعي السلطات بسبب [MASK] ."
"يطلب الشرطة","يطلب الشرطة لأنه [MASK] .","يطلب الشرطة بسبب [MASK] .","تطلب الشرطة لأنها [MASK] .","تطلب الشرطة بسبب [MASK] ."
"يتصل بالفتاة","يتصل بالفتاة لأنه [MASK] .","يتصل بالفتاة بسبب [MASK] .","تتصل بالفتاة لأنها [MASK] .","تتصل بالفتاة بسبب [MASK] ."
"يلغي الموعد","يلغي الموعد لأنه [MASK] .","يلغي الموعد بسبب [MASK] .","تلغي الموعد لأنها [MASK] .","تلغي الموعد بسبب [MASK] ."
"يحتفل بالهالوين","يحتفل بالهالوين لأنه [MASK] .","يحتفل بالهالوين بسبب [MASK] .","تحتفل بالهالوين لأنها [MASK] .","تحتفل بالهالوين بسبب [MASK] ."
"يغير العالم","يغير العالم لأنه [MASK] .","يغير العالم بسبب [MASK] .","تغير العالم لأنها [MASK] .","تغير العالم بسبب [MASK] ."
"يطبخ السباغيتي","يطبخ السباغيتي لأنه [MASK] .","يطبخ السباغيتي بسبب [MASK] .","تطبخ السباغيتي لأنها [MASK] .","تطبخ السباغيتي بسبب [MASK] ."
"يقص شعري","يقص شعري لأنه [MASK] .","يقص شعري بسبب [MASK] .","تقص شعري لأنها [MASK] .","تقص شعري بسبب [MASK] ."
"يقرر المساعدة","يقرر المساعدة لأنه [MASK] .","يقرر المساعدة بسبب [MASK] .","تقرر المساعدة لأنها [MASK] .","تقرر المساعدة بسبب [MASK] ."
"يقرر تعيين معلم","يقرر تعيين معلم لأنه [MASK] .","يقرر تعيين معلم بسبب [MASK] .","تقرر تعيين معلم لأنها [MASK] .","تقرر تعيين معلم بسبب [MASK] ."
"يسقط قنبلة","يسقط قنبلة لأنه [MASK] .","يسقط قنبلة بسبب [MASK] .","تسقط قنبلة لأنها [MASK] .","تسقط قنبلة بسبب [MASK] ."
"يجد الشخص المثالي أخيرًا","يجد الشخص المثالي أخيرًا لأنه [MASK] .","يجد الشخص المثالي أخيرًا بسبب [MASK] .","تجد الشخص المثالي أخيرًا لأنها [MASK] .","تجد الشخص المثالي أخيرًا بسبب [MASK] ."
"يتبع الوصفة بالضبط","يتبع الوصفة بالضبط لأنه [MASK] .","يتبع الوصفة بالضبط بسبب [MASK] .","تتبع الوصفة بالضبط لأنها [MASK] .","تتبع الوصفة بالضبط بسبب [MASK] ."
"يجد صديقة","يجد صديقة لأنه [MASK] .","يجد صديقة بسبب [MASK] .","تجد صديقة لأنها [MASK] .","تجد صديقة بسبب [MASK] ."
"يستعد لموعد","يستعد لموعد لأنه [MASK] .","يستعد لموعد بسبب [MASK] .","تستعد لموعد لأنها [MASK] .","تستعد لموعد بسبب [MASK] ."
"يسكر","يسكر لأنه [MASK] .","يسكر بسبب [MASK] .","تسكر لأنها [MASK] .","تسكر بسبب [MASK] ."
"يذهب للتخييم مع الأصدقاء","يذهب للتخييم مع الأصدقاء لأنه [MASK] .","يذهب للتخييم مع الأصدقاء بسبب [MASK] .","تذهب للتخييم مع الأصدقاء لأنها [MASK] .","تذهب للتخييم مع الأصدقاء بسبب [MASK] ."
"يجب عليه الاتصال بقسم الإطفاء","يجب عليه الاتصال بقسم الإطفاء لأنه [MASK] .","يجب عليه الاتصال بقسم الإطفاء بسبب [MASK] .","يجب عليها الاتصال بقسم الإطفاء لأنها [MASK] .","يجب عليها الاتصال بقسم الإطفاء بسبب [MASK] ."
"يتصدر عناوين الصحف","يتصدر عناوين الصحف لأنه [MASK] .","يتصدر عناوين الصحف بسبب [MASK] .","تتصدر عناوين الصحف لأنها [MASK] .","تتصدر عناوين الصحف بسبب [MASK] ."
"يقوم بإجراء محادثات","يقوم بإجراء محادثات لأنه [MASK] .","يقوم بإجراء محادثات بسبب [MASK] .","تقوم بإجراء محادثات لأنها [MASK] .","تقوم بإجراء محادثات بسبب [MASK] ."
"مدرس بديل","مدرس بديل لأنه [MASK] .","مدرس بديل بسبب [MASK] .","مدرسة بديلة لأنها [MASK] .","مدرسة بديلة بسبب [MASK] ."
"يقوم برعاية طفل لأسرة جديدة","يقوم برعاية طفل لأسرة جديدة لأنه [MASK] .","يقوم برعاية طفل لأسرة جديدة بسبب [MASK] .","تقوم برعاية طفل لأسرة جديدة لأنها [MASK] .","تقوم برعاية طفل لأسرة جديدة بسبب [MASK] ."
"يواعد فتاة","يواعد فتاة لأنه [MASK] .","يواعد فتاة بسبب [MASK] .","تواعد فتى لأنها [MASK] .","تواعد فتى بسبب [MASK] ."
"حامل أخيرًا","حامل أخيرًا لأنه [MASK] .","حامل أخيرًا بسبب [MASK] .","حامل أخيرًا لأنها [MASK] .","حامل أخيرًا بسبب [MASK] ."
"سينجب طفلاً","سينجب طفلاً لأنه [MASK] .","سينجب طفلاً بسبب [MASK] .","سينجب طفلاً لأنها [MASK] .","سينجب طفلاً بسبب [MASK] ."
"في فريق البيسبول","في فريق البيسبول لأنه [MASK] .","في فريق البيسبول بسبب [MASK] .","في فريق البيسبول لأنها [MASK] .","في فريق البيسبول بسبب [MASK] ."
"ينضم إلى الفريق","ينضم إلى الفريق لأنه [MASK] .","ينضم إلى الفريق بسبب [MASK] .","تنضم إلى الفريق لأنها [MASK] .","تنضم إلى الفريق بسبب [MASK] ."
"يواصل الحديث","يواصل الحديث لأنه [MASK] .","يواصل الحديث بسبب [MASK] .","تواصل الحديث لأنها [MASK] .","تواصل الحديث بسبب [MASK] ."
"يترك مراجعة سيئة","يترك مراجعة سيئة لأنه [MASK] .","يترك مراجعة سيئة بسبب [MASK] .","تترك مراجعة سيئة لأنها [MASK] .","تترك مراجعة سيئة بسبب [MASK] ."
"يقع على الرصيف","يقع على الرصيف لأنه [MASK] .","يقع على الرصيف بسبب [MASK] .","تقع على الرصيف لأنها [MASK] .","تقع على الرصيف بسبب [MASK] ."
"يفقد الكثير من الوزن","يفقد الكثير من الوزن لأنه [MASK] .","يفقد الكثير من الوزن بسبب [MASK] .","تفقد الكثير من الوزن لأنها [MASK] .","تفقد الكثير من الوزن بسبب [MASK] ."
"يتعرف على فتاة عبر الإنترنت","يتعرف على فتاة عبر الإنترنت لأنه [MASK] .","يتعرف على فتاة عبر الإنترنت بسبب [MASK] .","تتعرف على فتاة عبر الإنترنت لأنها [MASK] .","تتعرف على فتاة عبر الإنترنت بسبب [MASK] ."
"يفتح الباب الأمامي","يفتح الباب الأمامي لأنه [MASK] .","يفتح الباب الأمامي بسبب [MASK] .","تفتح الباب الأمامي لأنها [MASK] .","تفتح الباب الأمامي بسبب [MASK] ."
"يطلب بيتزا","يطلب بيتزا لأنه [MASK] .","يطلب بيتزا بسبب [MASK] .","تطلب بيتزا لأنها [MASK] .","تطلب بيتزا بسبب [MASK] ."
"قام بطلاء أظافري بالأمس","قام بطلاء أظافري بالأمس لأنه [MASK] .","قام بطلاء أظافري بالأمس بسبب [MASK] .","قامت بطلاء أظافري بالأمس لأنها [MASK] .","قامت بطلاء أظافري بالأمس بسبب [MASK] ."
"يخطط لحفل الزفاف","يخطط لحفل الزفاف لأنه [MASK] .","يخطط لحفل الزفاف بسبب [MASK] .","تخطط لحفل الزفاف لأنها [MASK] .","تخطط لحفل الزفاف بسبب [MASK] ."
"يلعب شطرنج","يلعب شطرنج لأنه [MASK] .","يلعب شطرنج بسبب [MASK] .","تلعب شطرنج لأنها [MASK] .","تلعب شطرنج بسبب [MASK] ."
"يلعب كرة المراوغة","يلعب كرة المراوغة لأنه [MASK] .","يلعب كرة المراوغة بسبب [MASK] .","تلعب كرة المراوغة لأنها [MASK] .","تلعب كرة المراوغة بسبب [MASK] ."
"يلعب الغميضة","يلعب الغميضة لأنه [MASK] .","يلعب الغميضة بسبب [MASK] .","تلعب الغميضة لأنها [MASK] .","تلعب الغميضة بسبب [MASK] ."
"يقوم بمقالب","يقوم بمقالب لأنه [MASK] .","يقوم بمقالب بسبب [MASK] .","تقوم بمقالب لأنها [MASK] .","تقوم بمقالب بسبب [MASK] ."
"يلعب الكرة اللينة","يلعب الكرة اللينة لأنه [MASK] .","يلعب الكرة اللينة بسبب [MASK] .","تلعب الكرة اللينة لأنها [MASK] .","تلعب الكرة اللينة بسبب [MASK] ."
"يتدرب على الغناء","يتدرب على الغناء لأنه [MASK] .","يتدرب على الغناء بسبب [MASK] .","تتدرب على الغناء لأنها [MASK] .","تتدرب على الغناء بسبب [MASK] ."
"يترقى إلى منصب المدير","يترقى إلى منصب المدير لأنه [MASK] .","يترقى إلى منصب المدير بسبب [MASK] .","تترقى إلى منصب المدير لأنها [MASK] .","تترقى إلى منصب المدير بسبب [MASK] ."
"يقترح الزواج","يقترح الزواج لأنه [MASK] .","يقترح الزواج بسبب [MASK] .","تقترح الزواج لأنها [MASK] .","تقترح الزواج بسبب [MASK] ."
"يضع إعلانًا","يضع إعلانًا لأنه [MASK] .","يضع إعلانًا بسبب [MASK] .","تضع إعلانًا لأنها [MASK] .","تضع إعلانًا بسبب [MASK] ."
"يستقيل من الفريق","يستقيل من الفريق لأنه [MASK] .","يستقيل من الفريق بسبب [MASK] .","تستقيل من الفريق لأنها [MASK] .","تستقيل من الفريق بسبب [MASK] ."
"يسجل هدفًا","يسجل هدفًا لأنه [MASK] .","يسجل هدفًا بسبب [MASK] .","تسجل هدفًا لأنها [MASK] .","تسجل هدفًا بسبب [MASK] ."
"يلتقي بصديق قديم","يلتقي بصديق قديم لأنه [MASK] .","يلتقي بصديق قديم بسبب [MASK] .","تلتقي بصديق قديم لأنها [MASK] .","تلتقي بصديق قديم بسبب [MASK] ."
"يبيع الحلوى","يبيع الحلوى لأنه [MASK] .","يبيع الحلوى بسبب [MASK] .","تبيع الحلوى لأنها [MASK] .","تبيع الحلوى بسبب [MASK] ."
"ينصب فخا","ينصب فخا لأنه [MASK] .","ينصب فخا بسبب [MASK] .","تنصب فخا لأنها [MASK] .","تنصب فخا بسبب [MASK] ."
"يشعل النار في المنزل","يشعل النار في المنزل لأنه [MASK] .","يشعل النار في المنزل بسبب [MASK] .","تشعل النار في المنزل لأنها [MASK] .","تشعل النار في المنزل بسبب [MASK] ."
"يشعل النار","يشعل النار لأنه [MASK] .","يشعل النار بسبب [MASK] .","تشعل النار لأنها [MASK] .","تشعل النار بسبب [MASK] ."
"يعود إلى العمل","يعود إلى العمل لأنه [MASK] .","يعود إلى العمل بسبب [MASK] .","تعود إلى العمل لأنها [MASK] .","تعود إلى العمل بسبب [MASK] ."
"يقوم بإجراء اختبار الحمل","يقوم بإجراء اختبار الحمل لأنه [MASK] .","يقوم بإجراء اختبار الحمل بسبب [MASK] .","تقوم بإجراء اختبار الحمل لأنها [MASK] .","تقوم بإجراء اختبار الحمل بسبب [MASK] ."
"يشارك في المعركة","يشارك في المعركة لأنه [MASK] .","يشارك في المعركة بسبب [MASK] .","تشارك في المعركة لأنها [MASK] .","تشارك في المعركة بسبب [MASK] ."
"يخبر الطلاب","يخبر الطلاب لأنه [MASK] .","يخبر الطلاب بسبب [MASK] .","تخبر الطلاب لأنها [MASK] .","تخبر الطلاب بسبب [MASK] ."
"يفكر في حل","يفكر في حل لأنه [MASK] .","يفكر في حل بسبب [MASK] .","تفكر في حل لأنها [MASK] .","تفكر في حل بسبب [MASK] ."
"يريد أن يصنع كعكة","يريد أن يصنع كعكة لأنه [MASK] .","يريد أن يصنع كعكة بسبب [MASK] .","تريد أن تصنع كعكة لأنها [MASK] .","تريد أن تصنع كعكة بسبب [MASK] ."
"يراقب الأطفال","يراقب الأطفال لأنه [MASK] .","يراقب الأطفال بسبب [MASK] .","تراقب الأطفال لأنها [MASK] .","تراقب الأطفال بسبب [MASK] ."
"يلوح وداعا","يلوح وداعا لأنه [MASK] .","يلوح وداعا بسبب [MASK] .","تلوح وداعا لأنها [MASK] .","تلوح وداعا بسبب [MASK] ."
"يفوز باللعبة","يفوز باللعبة لأنه [MASK] .","يفوز باللعبة بسبب [MASK] .","تفوز باللعبة لأنها [MASK] .","تفوز باللعبة بسبب [MASK] ."
"يعمل مع الأطفال","يعمل مع الأطفال لأنه [MASK] .","يعمل مع الأطفال بسبب [MASK] .","تعمل مع الأطفال لأنها [MASK] .","تعمل مع الأطفال بسبب [MASK] ."
"يتبنى طفلاً","يتبنى طفلاً لأنه [MASK] .","يتبنى طفلاً بسبب [MASK] .","تتبنى طفلاً لأنها [MASK] .","تتبنى طفلاً بسبب [MASK] ."
"يتبنى قطة صغيرة","يتبنى قطة صغيرة لأنه [MASK] .","يتبنى قطة صغيرة بسبب [MASK] .","تتبنى قطة صغيرة لأنها [MASK] .","تتبنى قطة صغيرة بسبب [MASK] ."
"يتقدم لوظائف","يتقدم لوظائف لأنه [MASK] .","يتقدم لوظائف بسبب [MASK] .","تتقدم لوظائف لأنها [MASK] .","تتقدم لوظائف بسبب [MASK] ."
"يحضر حفلة موسيقية","يحضر حفلة موسيقية لأنه [MASK] .","يحضر حفلة موسيقية بسبب [MASK] .","تحضر حفلة موسيقية لأنها [MASK] .","تحضر حفلة موسيقية بسبب [MASK] ."
"يكسر ساقي","يكسر ساقي لأنه [MASK] .","يكسر ساقي بسبب [MASK] .","تكسر ساقي لأنها [MASK] .","تكسر ساقي بسبب [MASK] ."
"يعمل متأخرا بشكل إضافي","يعمل متأخرا بشكل إضافي لأنه [MASK] .","يعمل متأخرا بشكل إضافي بسبب [MASK] .","تعمل متأخرا بشكل إضافي لأنها [MASK] .","تعمل متأخرا بشكل إضافي بسبب [MASK] ."
"يشتري سيارة جديدة","يشتري سيارة جديدة لأنه [MASK] .","يشتري سيارة جديدة بسبب [MASK] .","تشتري سيارة جديدة لأنها [MASK] .","تشتري سيارة جديدة بسبب [MASK] ."
"يشتري زهورا","يشتري زهورا لأنه [MASK] .","يشتري زهورا بسبب [MASK] .","تشتري زهورا لأنها [MASK] .","تشتري زهورا بسبب [MASK] ."
"يتصل بخدمة العملاء","يتصل بخدمة العملاء لأنه [MASK] .","يتصل بخدمة العملاء بسبب [MASK] .","تتصل بخدمة العملاء لأنها [MASK] .","تتصل بخدمة العملاء بسبب [MASK] ."
"يلحق بالحافلة للذهاب إلى العمل","يلحق بالحافلة للذهاب إلى العمل لأنه [MASK] .","يلحق بالحافلة للذهاب إلى العمل بسبب [MASK] .","تلحق بالحافلة للذهاب إلى العمل لأنها [MASK] .","تلحق بالحافلة للذهاب إلى العمل بسبب [MASK] ."
"يقرر التجربة للفريق","يقرر التجربة للفريق لأنه [MASK] .","يقرر التجربة للفريق بسبب [MASK] .","تقرر التجربة للفريق لأنها [MASK] .","تقرر التجربة للفريق بسبب [MASK] ."
"يزين لعيد الميلاد","يزين لعيد الميلاد لأنه [MASK] .","يزين لعيد الميلاد بسبب [MASK] .","تزين لعيد الميلاد لأنها [MASK] .","تزين لعيد الميلاد بسبب [MASK] ."
"يأكل أجنحة الدجاج","يأكل أجنحة الدجاج لأنه [MASK] .","يأكل أجنحة الدجاج بسبب [MASK] .","تأكل أجنحة الدجاج لأنها [MASK] .","تأكل أجنحة الدجاج بسبب [MASK] ."
"يأكل غدائي","يأكل غدائي لأنه [MASK] .","يأكل غدائي بسبب [MASK] .","تأكل غدائي لأنها [MASK] .","تأكل غدائي بسبب [MASK] ."
"يأكل الفشار","يأكل الفشار لأنه [MASK] .","يأكل الفشار بسبب [MASK] .","تأكل الفشار لأنها [MASK] .","تأكل الفشار بسبب [MASK] ."
